z,N1,N3,N5,N7,N9,N11,N13,N15,N17,N19,N21
0.66563,1.773,1.4951,1.526,1.5342,1.5378,1.5398,1.5411,1.5421,1.5428,1.5434,1.5439
0.66719,1.7724,1.4946,1.5255,1.5338,1.5373,1.5393,1.5406,1.5416,1.5424,1.543,1.5434
0.66875,1.7717,1.4942,1.525,1.5333,1.5368,1.5388,1.5402,1.5411,1.5419,1.5425,1.543
0.67031,1.7711,1.4937,1.5246,1.5328,1.5364,1.5384,1.5397,1.5407,1.5414,1.542,1.5425
0.67188,1.7705,1.4932,1.5241,1.5324,1.5359,1.5379,1.5392,1.5402,1.541,1.5416,1.5421
0.67344,1.7699,1.4927,1.5236,1.5319,1.5354,1.5374,1.5388,1.5397,1.5405,1.5411,1.5416
0.675,1.7694,1.4923,1.5232,1.5314,1.535,1.537,1.5383,1.5393,1.54,1.5406,1.5411
0.67656,1.7688,1.4918,1.5227,1.5309,1.5345,1.5365,1.5378,1.5388,1.5396,1.5402,1.5407
0.67812,1.7682,1.4913,1.5222,1.5305,1.534,1.536,1.5373,1.5383,1.5391,1.5397,1.5402
0.67969,1.7676,1.4908,1.5218,1.53,1.5336,1.5356,1.5369,1.5379,1.5386,1.5392,1.5397
0.68125,1.767,1.4904,1.5213,1.5295,1.5331,1.5351,1.5364,1.5374,1.5382,1.5388,1.5393
0.68281,1.7664,1.4899,1.5208,1.5291,1.5326,1.5346,1.5359,1.5369,1.5377,1.5383,1.5388
0.68437,1.7658,1.4894,1.5204,1.5286,1.5321,1.5341,1.5355,1.5364,1.5372,1.5378,1.5384
0.68594,1.7652,1.4889,1.5199,1.5281,1.5317,1.5337,1.535,1.536,1.5367,1.5374,1.5379
0.6875,1.7646,1.4885,1.5195,1.5277,1.5312,1.5332,1.5345,1.5355,1.5363,1.5369,1.5374
0.68906,1.7641,1.488,1.519,1.5272,1.5307,1.5327,1.534,1.535,1.5358,1.5364,1.5369
0.69063,1.7635,1.4875,1.5185,1.5267,1.5303,1.5322,1.5336,1.5346,1.5353,1.536,1.5365
0.69219,1.7629,1.4871,1.5181,1.5263,1.5298,1.5318,1.5331,1.5341,1.5349,1.5355,1.536
0.69375,1.7623,1.4866,1.5176,1.5258,1.5293,1.5313,1.5326,1.5336,1.5344,1.535,1.5355
0.69531,1.7617,1.4861,1.5171,1.5253,1.5289,1.5308,1.5321,1.5331,1.5339,1.5345,1.5351
0.69688,1.7612,1.4856,1.5167,1.5249,1.5284,1.5304,1.5317,1.5327,1.5334,1.5341,1.5346
0.69844,1.7606,1.4852,1.5162,1.5244,1.5279,1.5299,1.5312,1.5322,1.533,1.5336,1.5341
0.7,1.76,1.4847,1.5158,1.5239,1.5274,1.5294,1.5307,1.5317,1.5325,1.5331,1.5336
0.70156,1.7594,1.4842,1.5153,1.5235,1.527,1.5289,1.5302,1.5312,1.532,1.5326,1.5332
0.70312,1.7589,1.4838,1.5148,1.523,1.5265,1.5285,1.5298,1.5308,1.5315,1.5322,1.5327
0.70469,1.7583,1.4833,1.5144,1.5225,1.526,1.528,1.5293,1.5303,1.5311,1.5317,1.5322
0.70625,1.7577,1.4829,1.5139,1.5221,1.5256,1.5275,1.5288,1.5298,1.5306,1.5312,1.5317
0.70781,1.7572,1.4824,1.5135,1.5216,1.5251,1.527,1.5283,1.5293,1.5301,1.5307,1.5313
0.70937,1.7566,1.4819,1.513,1.5211,1.5246,1.5266,1.5279,1.5288,1.5296,1.5303,1.5308
0.71094,1.756,1.4815,1.5125,1.5207,1.5241,1.5261,1.5274,1.5284,1.5291,1.5298,1.5303
0.7125,1.7555,1.481,1.5121,1.5202,1.5237,1.5256,1.5269,1.5279,1.5287,1.5293,1.5298
0.71406,1.7549,1.4805,1.5116,1.5197,1.5232,1.5251,1.5264,1.5274,1.5282,1.5288,1.5293
0.71562,1.7543,1.4801,1.5112,1.5193,1.5227,1.5246,1.5259,1.5269,1.5277,1.5283,1.5289
0.71719,1.7538,1.4796,1.5107,1.5188,1.5222,1.5242,1.5255,1.5264,1.5272,1.5278,1.5284
0.71875,1.7532,1.4792,1.5102,1.5183,1.5218,1.5237,1.525,1.5259,1.5267,1.5274,1.5279
0.72031,1.7527,1.4787,1.5098,1.5179,1.5213,1.5232,1.5245,1.5255,1.5262,1.5269,1.5274
0.72188,1.7521,1.4782,1.5093,1.5174,1.5208,1.5227,1.524,1.525,1.5258,1.5264,1.5269
0.72344,1.7516,1.4778,1.5089,1.5169,1.5203,1.5223,1.5235,1.5245,1.5253,1.5259,1.5264
0.725,1.751,1.4773,1.5084,1.5165,1.5199,1.5218,1.523,1.524,1.5248,1.5254,1.5259
0.72656,1.7505,1.4769,1.5079,1.516,1.5194,1.5213,1.5226,1.5235,1.5243,1.5249,1.5255
0.72813,1.7499,1.4764,1.5075,1.5155,1.5189,1.5208,1.5221,1.523,1.5238,1.5244,1.525
0.72969,1.7494,1.4759,1.507,1.5151,1.5184,1.5203,1.5216,1.5225,1.5233,1.5239,1.5245
0.73125,1.7488,1.4755,1.5066,1.5146,1.518,1.5198,1.5211,1.5221,1.5228,1.5235,1.524
0.73281,1.7483,1.475,1.5061,1.5141,1.5175,1.5194,1.5206,1.5216,1.5223,1.523,1.5235
0.73438,1.7477,1.4746,1.5057,1.5137,1.517,1.5189,1.5201,1.5211,1.5218,1.5225,1.523
0.73594,1.7472,1.4741,1.5052,1.5132,1.5165,1.5184,1.5196,1.5206,1.5213,1.522,1.5225
0.7375,1.7466,1.4736,1.5047,1.5127,1.5161,1.5179,1.5192,1.5201,1.5209,1.5215,1.522
0.73906,1.7461,1.4732,1.5043,1.5123,1.5156,1.5174,1.5187,1.5196,1.5204,1.521,1.5215
0.74062,1.7455,1.4727,1.5038,1.5118,1.5151,1.5169,1.5182,1.5191,1.5199,1.5205,1.521
0.74219,1.745,1.4723,1.5034,1.5113,1.5146,1.5165,1.5177,1.5186,1.5194,1.52,1.5205
0.74375,1.7444,1.4718,1.5029,1.5109,1.5141,1.516,1.5172,1.5181,1.5189,1.5195,1.52
0.74531,1.7439,1.4714,1.5024,1.5104,1.5137,1.5155,1.5167,1.5176,1.5184,1.519,1.5195
0.74687,1.7434,1.4709,1.502,1.5099,1.5132,1.515,1.5162,1.5171,1.5179,1.5185,1.519
0.74844,1.7428,1.4705,1.5015,1.5094,1.5127,1.5145,1.5157,1.5166,1.5174,1.518,1.5185
0.75,1.7423,1.47,1.5011,1.509,1.5122,1.514,1.5152,1.5161,1.5169,1.5175,1.518
0.75156,1.7417,1.4695,1.5006,1.5085,1.5117,1.5135,1.5147,1.5156,1.5164,1.517,1.5175
0.75313,1.7412,1.4691,1.5002,1.508,1.5113,1.513,1.5142,1.5151,1.5159,1.5165,1.517
0.75469,1.7407,1.4686,1.4997,1.5076,1.5108,1.5125,1.5137,1.5146,1.5154,1.516,1.5165
0.75625,1.7401,1.4682,1.4992,1.5071,1.5103,1.5121,1.5132,1.5141,1.5148,1.5155,1.516
0.75781,1.7396,1.4677,1.4988,1.5066,1.5098,1.5116,1.5127,1.5136,1.5143,1.5149,1.5155
0.75938,1.7391,1.4673,1.4983,1.5061,1.5093,1.5111,1.5122,1.5131,1.5138,1.5144,1.5149
0.76094,1.7385,1.4668,1.4979,1.5057,1.5088,1.5106,1.5117,1.5126,1.5133,1.5139,1.5144
0.7625,1.738,1.4664,1.4974,1.5052,1.5084,1.5101,1.5112,1.5121,1.5128,1.5134,1.5139
0.76406,1.7375,1.4659,1.4969,1.5047,1.5079,1.5096,1.5107,1.5116,1.5123,1.5129,1.5134
0.76562,1.7369,1.4654,1.4965,1.5043,1.5074,1.5091,1.5102,1.5111,1.5118,1.5124,1.5129
0.76719,1.7364,1.465,1.496,1.5038,1.5069,1.5086,1.5097,1.5106,1.5113,1.5119,1.5124
0.76875,1.7359,1.4645,1.4956,1.5033,1.5064,1.5081,1.5092,1.5101,1.5108,1.5113,1.5118
0.77031,1.7353,1.4641,1.4951,1.5028,1.5059,1.5076,1.5087,1.5096,1.5103,1.5108,1.5113
0.77187,1.7348,1.4636,1.4946,1.5023,1.5054,1.5071,1.5082,1.5091,1.5097,1.5103,1.5108
0.77344,1.7343,1.4632,1.4942,1.5019,1.5049,1.5066,1.5077,1.5085,1.5092,1.5098,1.5103
0.775,1.7337,1.4627,1.4937,1.5014,1.5045,1.5061,1.5072,1.508,1.5087,1.5093,1.5097
0.77656,1.7332,1.4623,1.4932,1.5009,1.504,1.5056,1.5067,1.5075,1.5082,1.5087,1.5092
0.77812,1.7327,1.4618,1.4928,1.5004,1.5035,1.5051,1.5062,1.507,1.5077,1.5082,1.5087
0.77969,1.7322,1.4614,1.4923,1.5,1.503,1.5046,1.5057,1.5065,1.5071,1.5077,1.5082
0.78125,1.7316,1.4609,1.4919,1.4995,1.5025,1.5041,1.5052,1.506,1.5066,1.5072,1.5076
0.78281,1.7311,1.4605,1.4914,1.499,1.502,1.5036,1.5046,1.5054,1.5061,1.5066,1.5071
0.78438,1.7306,1.46,1.4909,1.4985,1.5015,1.5031,1.5041,1.5049,1.5056,1.5061,1.5066
0.78594,1.7301,1.4595,1.4905,1.498,1.501,1.5026,1.5036,1.5044,1.505,1.5056,1.506
0.7875,1.7295,1.4591,1.49,1.4976,1.5005,1.5021,1.5031,1.5039,1.5045,1.505,1.5055
0.78906,1.729,1.4586,1.4895,1.4971,1.5,1.5016,1.5026,1.5034,1.504,1.5045,1.505
0.79063,1.7285,1.4582,1.4891,1.4966,1.4995,1.5011,1.5021,1.5028,1.5035,1.504,1.5044
0.79219,1.728,1.4577,1.4886,1.4961,1.499,1.5005,1.5016,1.5023,1.5029,1.5034,1.5039
0.79375,1.7275,1.4573,1.4881,1.4956,1.4985,1.5,1.501,1.5018,1.5024,1.5029,1.5033
0.79531,1.7269,1.4568,1.4877,1.4951,1.498,1.4995,1.5005,1.5013,1.5019,1.5024,1.5028
0.79688,1.7264,1.4564,1.4872,1.4947,1.4975,1.499,1.5,1.5007,1.5013,1.5018,1.5023
0.79844,1.7259,1.4559,1.4867,1.4942,1.497,1.4985,1.4995,1.5002,1.5008,1.5013,1.5017
0.8,1.7254,1.4554,1.4863,1.4937,1.4965,1.498,1.4989,1.4997,1.5002,1.5007,1.5012
0.80156,1.7248,1.455,1.4858,1.4932,1.496,1.4975,1.4984,1.4991,1.4997,1.5002,1.5006
0.80312,1.7243,1.4545,1.4853,1.4927,1.4955,1.497,1.4979,1.4986,1.4992,1.4997,1.5001
0.80469,1.7238,1.4541,1.4849,1.4922,1.495,1.4964,1.4974,1.4981,1.4986,1.4991,1.4995
0.80625,1.7233,1.4536,1.4844,1.4917,1.4945,1.4959,1.4968,1.4975,1.4981,1.4986,1.499
0.80781,1.7228,1.4532,1.4839,1.4913,1.494,1.4954,1.4963,1.497,1.4975,1.498,1.4984
0.80937,1.7223,1.4527,1.4835,1.4908,1.4935,1.4949,1.4958,1.4964,1.497,1.4975,1.4979
0.81094,1.7217,1.4522,1.483,1.4903,1.493,1.4944,1.4952,1.4959,1.4964,1.4969,1.4973
0.8125,1.7212,1.4518,1.4825,1.4898,1.4925,1.4938,1.4947,1.4954,1.4959,1.4964,1.4967
0.81406,1.7207,1.4513,1.482,1.4893,1.492,1.4933,1.4942,1.4948,1.4954,1.4958,1.4962
0.81563,1.7202,1.4509,1.4816,1.4888,1.4915,1.4928,1.4936,1.4943,1.4948,1.4952,1.4956
0.81719,1.7197,1.4504,1.4811,1.4883,1.491,1.4923,1.4931,1.4937,1.4943,1.4947,1.4951
0.81875,1.7192,1.45,1.4806,1.4878,1.4904,1.4917,1.4926,1.4932,1.4937,1.4941,1.4945
0.82031,1.7186,1.4495,1.4801,1.4873,1.4899,1.4912,1.492,1.4926,1.4931,1.4936,1.4939
0.82188,1.7181,1.449,1.4797,1.4868,1.4894,1.4907,1.4915,1.4921,1.4926,1.493,1.4934
0.82344,1.7176,1.4486,1.4792,1.4863,1.4889,1.4902,1.491,1.4915,1.492,1.4924,1.4928
0.825,1.7171,1.4481,1.4787,1.4858,1.4884,1.4896,1.4904,1.491,1.4915,1.4919,1.4922
0.82656,1.7166,1.4477,1.4782,1.4853,1.4879,1.4891,1.4899,1.4904,1.4909,1.4913,1.4917
0.82812,1.7161,1.4472,1.4778,1.4848,1.4874,1.4886,1.4893,1.4899,1.4904,1.4907,1.4911
0.82969,1.7155,1.4467,1.4773,1.4843,1.4868,1.488,1.4888,1.4893,1.4898,1.4902,1.4905
0.83125,1.715,1.4463,1.4768,1.4838,1.4863,1.4875,1.4882,1.4888,1.4892,1.4896,1.4899
0.83281,1.7145,1.4458,1.4763,1.4833,1.4858,1.487,1.4877,1.4882,1.4887,1.489,1.4894
0.83437,1.714,1.4454,1.4759,1.4828,1.4853,1.4864,1.4871,1.4877,1.4881,1.4885,1.4888
0.83594,1.7135,1.4449,1.4754,1.4823,1.4848,1.4859,1.4866,1.4871,1.4875,1.4879,1.4882
0.8375,1.713,1.4444,1.4749,1.4818,1.4842,1.4854,1.486,1.4865,1.487,1.4873,1.4876
0.83906,1.7125,1.444,1.4744,1.4813,1.4837,1.4848,1.4855,1.486,1.4864,1.4867,1.487
0.84062,1.7119,1.4435,1.4739,1.4808,1.4832,1.4843,1.4849,1.4854,1.4858,1.4862,1.4864
0.84219,1.7114,1.443,1.4735,1.4803,1.4827,1.4837,1.4844,1.4849,1.4852,1.4856,1.4859
0.84375,1.7109,1.4426,1.473,1.4798,1.4821,1.4832,1.4838,1.4843,1.4847,1.485,1.4853
0.84531,1.7104,1.4421,1.4725,1.4793,1.4816,1.4827,1.4833,1.4837,1.4841,1.4844,1.4847
0.84688,1.7099,1.4416,1.472,1.4788,1.4811,1.4821,1.4827,1.4832,1.4835,1.4838,1.4841
0.84844,1.7094,1.4412,1.4715,1.4783,1.4806,1.4816,1.4822,1.4826,1.4829,1.4832,1.4835
0.85,1.7089,1.4407,1.471,1.4778,1.48,1.481,1.4816,1.482,1.4823,1.4826,1.4829
0.85156,1.7083,1.4402,1.4706,1.4773,1.4795,1.4805,1.481,1.4814,1.4818,1.4821,1.4823
0.85313,1.7078,1.4398,1.4701,1.4768,1.479,1.4799,1.4805,1.4809,1.4812,1.4815,1.4817
0.85469,1.7073,1.4393,1.4696,1.4762,1.4784,1.4794,1.4799,1.4803,1.4806,1.4809,1.4811
0.85625,1.7068,1.4388,1.4691,1.4757,1.4779,1.4788,1.4793,1.4797,1.48,1.4803,1.4805
0.85781,1.7063,1.4384,1.4686,1.4752,1.4774,1.4783,1.4788,1.4791,1.4794,1.4797,1.4799
0.85938,1.7058,1.4379,1.4681,1.4747,1.4768,1.4777,1.4782,1.4786,1.4788,1.4791,1.4793
0.86094,1.7053,1.4374,1.4676,1.4742,1.4763,1.4772,1.4776,1.478,1.4782,1.4785,1.4787
0.8625,1.7047,1.437,1.4671,1.4737,1.4757,1.4766,1.4771,1.4774,1.4777,1.4779,1.4781
0.86406,1.7042,1.4365,1.4666,1.4732,1.4752,1.476,1.4765,1.4768,1.4771,1.4773,1.4775
0.86562,1.7037,1.436,1.4661,1.4726,1.4747,1.4755,1.4759,1.4762,1.4765,1.4767,1.4769
0.86719,1.7032,1.4356,1.4657,1.4721,1.4741,1.4749,1.4753,1.4756,1.4759,1.4761,1.4763
0.86875,1.7027,1.4351,1.4652,1.4716,1.4736,1.4744,1.4748,1.475,1.4753,1.4755,1.4756
0.87031,1.7022,1.4346,1.4647,1.4711,1.473,1.4738,1.4742,1.4745,1.4747,1.4749,1.475
0.87187,1.7017,1.4341,1.4642,1.4706,1.4725,1.4732,1.4736,1.4739,1.4741,1.4742,1.4744
0.87344,1.7012,1.4337,1.4637,1.47,1.472,1.4727,1.473,1.4733,1.4735,1.4736,1.4738
0.875,1.7006,1.4332,1.4632,1.4695,1.4714,1.4721,1.4725,1.4727,1.4729,1.473,1.4732
0.87656,1.7001,1.4327,1.4627,1.469,1.4709,1.4715,1.4719,1.4721,1.4723,1.4724,1.4725
0.87813,1.6996,1.4322,1.4622,1.4685,1.4703,1.471,1.4713,1.4715,1.4717,1.4718,1.4719
0.87969,1.6991,1.4318,1.4617,1.4679,1.4698,1.4704,1.4707,1.4709,1.471,1.4712,1.4713
0.88125,1.6986,1.4313,1.4612,1.4674,1.4692,1.4698,1.4701,1.4703,1.4704,1.4706,1.4707
0.88281,1.6981,1.4308,1.4607,1.4669,1.4687,1.4693,1.4695,1.4697,1.4698,1.4699,1.47
0.88438,1.6976,1.4303,1.4602,1.4663,1.4681,1.4687,1.469,1.4691,1.4692,1.4693,1.4694
0.88594,1.697,1.4299,1.4597,1.4658,1.4676,1.4681,1.4684,1.4685,1.4686,1.4687,1.4688
0.8875,1.6965,1.4294,1.4592,1.4653,1.467,1.4676,1.4678,1.4679,1.468,1.4681,1.4682
0.88906,1.696,1.4289,1.4587,1.4648,1.4664,1.467,1.4672,1.4673,1.4674,1.4674,1.4675
0.89062,1.6955,1.4284,1.4582,1.4642,1.4659,1.4664,1.4666,1.4667,1.4667,1.4668,1.4669
0.89219,1.695,1.4279,1.4577,1.4637,1.4653,1.4658,1.466,1.4661,1.4661,1.4662,1.4662
0.89375,1.6945,1.4275,1.4572,1.4632,1.4648,1.4652,1.4654,1.4655,1.4655,1.4656,1.4656
0.89531,1.694,1.427,1.4567,1.4626,1.4642,1.4647,1.4648,1.4648,1.4649,1.4649,1.465
0.89687,1.6934,1.4265,1.4561,1.4621,1.4636,1.4641,1.4642,1.4642,1.4643,1.4643,1.4643
0.89844,1.6929,1.426,1.4556,1.4615,1.4631,1.4635,1.4636,1.4636,1.4636,1.4637,1.4637
0.9,1.6924,1.4255,1.4551,1.461,1.4625,1.4629,1.463,1.463,1.463,1.463,1.463
0.90156,1.6919,1.425,1.4546,1.4605,1.462,1.4623,1.4624,1.4624,1.4624,1.4624,1.4624
0.90312,1.6914,1.4246,1.4541,1.4599,1.4614,1.4617,1.4618,1.4618,1.4618,1.4617,1.4617
0.90469,1.6909,1.4241,1.4536,1.4594,1.4608,1.4612,1.4612,1.4612,1.4611,1.4611,1.4611
0.90625,1.6903,1.4236,1.4531,1.4588,1.4603,1.4606,1.4606,1.4605,1.4605,1.4605,1.4604
0.90781,1.6898,1.4231,1.4526,1.4583,1.4597,1.46,1.46,1.4599,1.4599,1.4598,1.4598
0.90938,1.6893,1.4226,1.4521,1.4578,1.4591,1.4594,1.4594,1.4593,1.4592,1.4592,1.4591
0.91094,1.6888,1.4221,1.4515,1.4572,1.4585,1.4588,1.4588,1.4587,1.4586,1.4585,1.4585
0.9125,1.6883,1.4216,1.451,1.4567,1.458,1.4582,1.4581,1.458,1.4579,1.4579,1.4578
0.91406,1.6878,1.4212,1.4505,1.4561,1.4574,1.4576,1.4575,1.4574,1.4573,1.4572,1.4572
0.91563,1.6873,1.4207,1.45,1.4556,1.4568,1.457,1.4569,1.4568,1.4567,1.4566,1.4565
0.91719,1.6867,1.4202,1.4495,1.455,1.4563,1.4564,1.4563,1.4562,1.456,1.4559,1.4558
0.91875,1.6862,1.4197,1.449,1.4545,1.4557,1.4558,1.4557,1.4555,1.4554,1.4553,1.4552
0.92031,1.6857,1.4192,1.4484,1.4539,1.4551,1.4552,1.4551,1.4549,1.4547,1.4546,1.4545
0.92188,1.6852,1.4187,1.4479,1.4534,1.4545,1.4546,1.4545,1.4543,1.4541,1.454,1.4538
0.92344,1.6847,1.4182,1.4474,1.4528,1.4539,1.454,1.4538,1.4536,1.4534,1.4533,1.4532
0.925,1.6842,1.4177,1.4469,1.4523,1.4534,1.4534,1.4532,1.453,1.4528,1.4526,1.4525
0.92656,1.6836,1.4172,1.4464,1.4517,1.4528,1.4528,1.4526,1.4524,1.4521,1.452,1.4518
0.92812,1.6831,1.4167,1.4458,1.4512,1.4522,1.4522,1.452,1.4517,1.4515,1.4513,1.4512
0.92969,1.6826,1.4162,1.4453,1.4506,1.4516,1.4516,1.4514,1.4511,1.4508,1.4506,1.4505
0.93125,1.6821,1.4157,1.4448,1.45,1.451,1.451,1.4507,1.4504,1.4502,1.45,1.4498
0.93281,1.6816,1.4153,1.4443,1.4495,1.4504,1.4504,1.4501,1.4498,1.4495,1.4493,1.4491
0.93437,1.6811,1.4148,1.4437,1.4489,1.4499,1.4498,1.4495,1.4492,1.4489,1.4486,1.4485
0.93594,1.6805,1.4143,1.4432,1.4484,1.4493,1.4492,1.4488,1.4485,1.4482,1.448,1.4478
0.9375,1.68,1.4138,1.4427,1.4478,1.4487,1.4486,1.4482,1.4479,1.4476,1.4473,1.4471
0.93906,1.6795,1.4133,1.4422,1.4472,1.4481,1.448,1.4476,1.4472,1.4469,1.4466,1.4464
0.94063,1.679,1.4128,1.4416,1.4467,1.4475,1.4473,1.447,1.4466,1.4462,1.446,1.4457
0.94219,1.6785,1.4123,1.4411,1.4461,1.4469,1.4467,1.4463,1.4459,1.4456,1.4453,1.445
0.94375,1.6779,1.4118,1.4406,1.4456,1.4463,1.4461,1.4457,1.4453,1.4449,1.4446,1.4444
0.94531,1.6774,1.4113,1.44,1.445,1.4457,1.4455,1.4451,1.4446,1.4442,1.4439,1.4437
0.94688,1.6769,1.4108,1.4395,1.4444,1.4451,1.4449,1.4444,1.444,1.4436,1.4433,1.443
0.94844,1.6764,1.4103,1.439,1.4439,1.4445,1.4443,1.4438,1.4433,1.4429,1.4426,1.4423
0.95,1.6759,1.4098,1.4384,1.4433,1.444,1.4436,1.4431,1.4427,1.4422,1.4419,1.4416
0.95156,1.6754,1.4093,1.4379,1.4427,1.4434,1.443,1.4425,1.442,1.4416,1.4412,1.4409
0.95312,1.6748,1.4088,1.4374,1.4422,1.4428,1.4424,1.4419,1.4413,1.4409,1.4405,1.4402
0.95469,1.6743,1.4082,1.4368,1.4416,1.4422,1.4418,1.4412,1.4407,1.4402,1.4398,1.4395
0.95625,1.6738,1.4077,1.4363,1.441,1.4416,1.4412,1.4406,1.44,1.4396,1.4392,1.4388
0.95781,1.6733,1.4072,1.4358,1.4404,1.441,1.4405,1.4399,1.4394,1.4389,1.4385,1.4381
0.95937,1.6728,1.4067,1.4352,1.4399,1.4404,1.4399,1.4393,1.4387,1.4382,1.4378,1.4374
0.96094,1.6722,1.4062,1.4347,1.4393,1.4398,1.4393,1.4386,1.438,1.4375,1.4371,1.4367
0.9625,1.6717,1.4057,1.4341,1.4387,1.4392,1.4387,1.438,1.4374,1.4368,1.4364,1.436
0.96406,1.6712,1.4052,1.4336,1.4382,1.4386,1.438,1.4373,1.4367,1.4362,1.4357,1.4353
0.96562,1.6707,1.4047,1.4331,1.4376,1.4379,1.4374,1.4367,1.436,1.4355,1.435,1.4346
0.96719,1.6702,1.4042,1.4325,1.437,1.4373,1.4368,1.436,1.4354,1.4348,1.4343,1.4339
0.96875,1.6696,1.4037,1.432,1.4364,1.4367,1.4361,1.4354,1.4347,1.4341,1.4336,1.4332
0.97031,1.6691,1.4032,1.4314,1.4359,1.4361,1.4355,1.4347,1.434,1.4334,1.4329,1.4325
0.97188,1.6686,1.4027,1.4309,1.4353,1.4355,1.4349,1.4341,1.4334,1.4328,1.4322,1.4318
0.97344,1.6681,1.4022,1.4303,1.4347,1.4349,1.4342,1.4334,1.4327,1.4321,1.4315,1.4311
0.975,1.6676,1.4016,1.4298,1.4341,1.4343,1.4336,1.4328,1.432,1.4314,1.4308,1.4304
0.97656,1.6671,1.4011,1.4293,1.4335,1.4337,1.433,1.4321,1.4314,1.4307,1.4301,1.4297
0.97813,1.6665,1.4006,1.4287,1.433,1.4331,1.4323,1.4315,1.4307,1.43,1.4294,1.429
0.97969,1.666,1.4001,1.4282,1.4324,1.4325,1.4317,1.4308,1.43,1.4293,1.4287,1.4282
0.98125,1.6655,1.3996,1.4276,1.4318,1.4319,1.4311,1.4302,1.4293,1.4286,1.428,1.4275
0.98281,1.665,1.3991,1.4271,1.4312,1.4312,1.4304,1.4295,1.4287,1.4279,1.4273,1.4268
0.98438,1.6645,1.3986,1.4265,1.4306,1.4306,1.4298,1.4288,1.428,1.4272,1.4266,1.4261
0.98594,1.6639,1.3981,1.426,1.43,1.43,1.4292,1.4282,1.4273,1.4266,1.4259,1.4254
0.9875,1.6634,1.3975,1.4254,1.4295,1.4294,1.4285,1.4275,1.4266,1.4259,1.4252,1.4247
0.98906,1.6629,1.397,1.4249,1.4289,1.4288,1.4279,1.4269,1.426,1.4252,1.4245,1.4239
0.99062,1.6624,1.3965,1.4243,1.4283,1.4282,1.4272,1.4262,1.4253,1.4245,1.4238,1.4232
0.99219,1.6619,1.396,1.4238,1.4277,1.4276,1.4266,1.4255,1.4246,1.4238,1.4231,1.4225
0.99375,1.6613,1.3955,1.4232,1.4271,1.4269,1.4259,1.4249,1.4239,1.4231,1.4224,1.4218
0.99531,1.6608,1.395,1.4227,1.4265,1.4263,1.4253,1.4242,1.4232,1.4224,1.4217,1.421
0.99687,1.6603,1.3944,1.4221,1.4259,1.4257,1.4247,1.4235,1.4225,1.4217,1.4209,1.4203
0.99844,1.6598,1.3939,1.4216,1.4253,1.4251,1.424,1.4229,1.4219,1.421,1.4202,1.4196
1,1.6593,1.3934,1.421,1.4248,1.4245,1.4234,1.4222,1.4212,1.4203,1.4195,1.4189
